text,label
"I use this with the Nudestix â€œCitrus Clean Balm & Make-Up Meltâ€œ to double cleanse and it has completely changed my skin (for the better). The make-up melt is oil based and removes all of your makeup super easily. I follow-up with this water based cleanser, and I also use this just by itself when Iâ€™m not wearing make-up. It leaves the skin gently cleansed, but without stripping the skin. 10/10 recommend combining with the make-up melt. Itâ€™s perfection!",1
My review title says it all! I get so excited to get into bed and apply this lip mask. I do see a difference because I suffer from dry cracked lips. I drink a lot of water and apply lip balm daily but nothing helped until I started using this. untiluntistafted usinf this.,1
Iâ€™ve always loved this formula for a long time. I honestly donâ€™t even use it for night time. I use it as an everyday lip balm. I love the texture. Gummy Bear is my second most favourite scent. Grapefruit is the best in my opinion.,1
"If you have dry cracked lips, this is a must have. After a few weeks of use I have learned I will always have by my bedside. I thought it was a little expensive but a little goes a long way. It is worth the price.",1
I use this at night or while Iâ€™m putting makeup on. Love the way I donâ€™t have to reapply it during the night. Definitely a win.,1
"I love this stuff. I first had the sample size from a Sephora Birthday gift, and once I had run through it I knew it was a purchase. I live in an incredibly dry environment, great for macarons, but terrible for my skin. This lip mask helps to keep my lips from becoming too chapped.",1
"I purchased the Sweet Candy scent at my local Sephora and I am OBSESSED!! I will be honest, the scent is a bit strong - but theyâ€™re all strongly scented. My lips are so soft. 10/10!",1
this product is a bit pricey but after using one scoop i figured this will take a LONG time to use up the whole container. it smells so good and the container is so cute.,1
I use this every night and morning and it works wonders! This never fails to make my lips super hydrated! The tint and shine to it makes it even a great lip gloss during the day!,1
"I just got this a few days ago, itâ€™s amazing! I love the berry scent ! Itâ€™s very hydrating and my lips are so smooth and glossy . My lips are always chapped and dry this has really helped!",1
i love how hydrating this makes my lips feel! perfect for an overnight lip mask or just a gloss as well! lasts forever,1
"i have used this for about almost a year, and my lips are so soft once i use this! not only do i use it at night, but just when i need a quick moisturizing pick up for my lips :)",1
"I have this in every colour except for sweet candy which will be my next purchase but I got the kit with the 5 minis for christmas and I honestly love these so much, I wake up and my lips are instantly smooth, I can also use it as a lipgloss and itâ€™s honestly my favourite lip product ever.",1
I just started using it but from the first night my lips felt way better. The next morning they even looked fuller which Iâ€™m not sure if thatâ€™s the intention but still! And the berry smell is so good!,1
This lip balm is the best I ever had. It works. It hydrates and last long. It has everything you need in a balm. It even has a little spatula that you can use to scoop the product easily and cleanly.,1
Super hydrating and smells really good unlike certain lip masks,1
Love this!!! Iâ€™m obsessed with the Gummy bear scent. This stuff is so thick and creamy. Lasts for hours.  Very hydrating. Loved it so much I bought the daytime gloss! Candy also smells amazing!!!,1
"This product is amazing! I use it before bed, and also throughout the day as a lip balm. Itâ€™s so smooth and feels amazing! It doesnâ€™t have a sticky feeling at all. My lips are soft and smooth since adding this my routine. I will definitively be purchasing again.",1
It is so moisturizing and keeps my lips super soft and hydrated.,1
"I am super impressed with this lip mask. I use it at bedtime and wake up with soft lips! ( I struggle with cracked and peeling lips every winter ) I also use it on top of my lip liner in the morning for a plumped, soft look.",1
"love this so much! I use it everyone night and it keeps my lips so hydrated because they used to always be so dry and chapped! 5 stars, 100% recommend!",1
Obsessed with this! The first few days I wasnâ€™t seeing ton of results but after using it consistently for a bit my lips are no longer chapped. I donâ€™t have to reapply chapstick throughout the day. My lips also look fuller! Wasnâ€™t excited about the price but a small amount works well.,1
